curtain_id,title,image_path,contenxt,choices1,choices1_jump,choices2,choices2_jump,choices3,choices3_jump,
133,虎哥的决意,,"""机甲发射了“落榜光线”。华南虎哥挡在你面前，被击中了。虎哥的身影开始淡化：“鹿兄，我其实也是你考研压力产生的幻觉...但我这一刻是真的...”""",虎哥！！不要死！,134,,,,,
134,觉醒时刻,,"""虎哥消失了，化作一道金光钻进了你的鹿角。你感到力量涌上来。这不再是普通的鹿角，这是承载了所有落榜生怨念的“复仇之角”！""",跟他拼了！,135,,,,,
135,鹿角冲撞,,"""你低头，向机械马发起了冲锋。鹿角像钻头一样击穿了机甲的装甲。前妻尖叫着从驾驶舱跌落，手里还紧紧抓着装扁桃体的罐子。""",最后一击,136,,,,,
136,破碎的罐子,,"""机甲爆炸的冲击波震碎了罐子。扁桃体飞到了半空中，划出一道红色的抛物线。前妻伸手去抓，你同时也伸出了蹄子。""",就是现在！,137,,,,,
137,吞噬,,"""你一口吞下了自己的扁桃体！久违的完整感回到了身体里。焦虑、恐惧、希望，所有情绪混合在一起。你的身体开始发光。""",发生什么了？,138,,,,,
138,世界的崩塌,,"""随着扁桃体归位，工厂开始崩塌。那些被煮烂的试卷飞满天，变成了雪花。马头人们停止了工作，茫然地看着天空。""",这是...雪？,139,,,,,
139,光芒中的选择,,"""光芒中，一个宏大的声音响起：“你找回了自我，但这真的很痛苦。你可以选择重塑这个世界。”""",我要怎样的世界？,140,,,,,
140,终极抉择,,"""摆在你面前有两个按钮：红色按钮——变回清醒痛苦的人类；绿色按钮——变成快乐无脑的马；蓝色按钮——把所有人都变成鹿。""",红色按钮,141,绿色按钮,142,蓝色按钮,143,
141,结局A：凡人的苦难,,"""光芒散去。你坐在图书馆，面前是堆积如山的复习资料。没有马，没有鹿。只有无尽的知识点和背痛。你叹了口气，拿起了笔。这才是真实。""",继续复习（全剧终）,100,,,,,
142,结局B：草原的欢愉,,"""光芒散去。你变成了一匹健壮的野马，奔跑在蒙古大草原上。前妻（现在是一匹母马）在旁边蹭你的脖子。没有考研，没有房贷，只有青草的香气。""",咴儿咴儿（全剧终）,100,,,,,
143,结局C：全员鹿化,,"""光芒散去。世界变了。所有人的头都变成了鹿头。大家见面不再问“吃了吗”，而是互相顶角。你作为“始祖鹿”，被供奉在神坛上。这世界依然荒诞，但至少你是老大。""",呦呦鹿鸣（全剧终）,100,,,,,
144,隐藏结局触发,,"""如果你没有按任何按钮，而是站在那里发呆超过了10分钟...""",（发呆中）,145,,,,,
145,结局D：缸中之脑,,"""场景突然黑屏。出现一行代码：`Simulation Failed. User Awareness High.` 你发现自己其实是一个被泡在营养液里的大脑，刚才的一切只是最新的“减压疗法”。""",重启系统（全剧终）,100,,,,,
146,彩蛋环节,,"""等等，故事还没完。华强北老板突然出现，捡起了地上的机甲碎片：“这材料不错，能做个至尊版手机壳。”""",老板，我也要一个,147,,,,,
147,老板的馈赠,,"""老板送了你一个“扁桃体Pro Max”手机。你打开手机，发现里面只有一个APP，叫《指鹿为马模拟器》。""",点开APP,148,,,,,
148,无限套娃,,"""你点开了APP。屏幕上出现了一行字：“你是一个大学生，毕业了准备考研...”你意识到，你又要开始循环了。""",不要啊！,100,,,,,
149,制作人员名单,,"""编剧：。 美术：。 测试：。 感谢游玩本游戏。""",鼓掌,150,,,,,
150,谢谢惠顾,,"""既然都看到这里了，不如放下手机，去看看真正的河南春晚吧。新年快乐，鹿兄。""",再见,100,,,,,
